surah_number,ayah_number,transliteration_converted
2,125,Wa ʼiḏ jaɛalna al-bayta maṯabatan lilnnasi wa ʼamnan wa attaxiḏu min maqami ʼibrahima muṣallan wa ɛahidna ʼila ʼibrahima wa ʼismaɛila ʼan ṭahhira bayti lilṭṭaʼifina wa al-ɛakifina wa ar-rukkaɛi as-sujud.
2,126,Wa ʼiḏ qala ʼibrahimu rabbi ajɛal haḏa baladan ʼaminan wa arzuq ʼahlahu mina aṯ-ṯamarati man ʼamana minhum Billahi wa al-yawmi al-ʼaxiri qala wa man kafara faʼumattiɛuhu qalilan ṯumma ʼaḍṭarruhu ʼila ɛaḏabi an-nari wa biʼsa al-maṣir.
2,127,Wa ʼiḏ yarfaɛu ʼibrahimu al-qawaɛida mina al-bayti wa ʼismaɛilu rabbana taqabbal minna ʼinnaka ʼanta as-samiɛu al-ɛalim.
2,128,Rabbana wa ajɛalna muslimayni laka wa min ḏurriyatina ʼummatan muslimatan laka wa ʼarina manasikana wa tub ɛalayna ʼinnaka ʼanta at-tawwabu ar-raḥim.
2,129,Rabbana wa abɛaṯ fihim rasulan minhum yatlu ɛalayhim ʼayatika wa yuɛallimuhum al-kitaba wa al-ḥikmata wa yuzakkihim ʼinnaka ʼanta al-ɛazizu al-ḥakim.
2,130,Wa man yarɣabu ɛan millati ʼibrahima ʼilla man safiha nafsahu wa laqad aṣṭafaynahu fi ad-dunya wa ʼinnahu fi al-ʼaxirati lamina aṣ-ṣaliḥin.
2,131,ʼiḏ qala lahu rabbuhu ʼaslim qala ʼaslamtu lirabbi al-ɛalamin.
2,132,Wa waṣṣa biha ʼibrahimu banihi wa yaɛqubu ya baniya ʼinna Allaha aṣṭafa lakum ad-dina fala tamutunna ʼilla wa ʼantum muslimun.
2,133,ʼam kuntum cuhadaʼa ʼiḏ ḥaḍara yaɛquba al-mawtu ʼiḏ qala libanihi ma taɛbuduna min baɛdi qalu naɛbudu ʼilahaka wa ʼilaha ʼabaʼika ʼibrahima wa ʼismaɛila wa ʼisḥaqa ʼilahan waḥidan wa naḥnu lahu muslimun.
2,134,Tilka ʼummatun qad xalat laha ma kasabat wa lakum ma kasabtum wa la tusʼaluna ɛamma kanu yaɛmalun.
2,135,Wa qalu kunu hudan ʼaw naṣara tahtadu qul bal millata ʼibrahima ḥanifan wa ma kana mina al-mucrikin.
2,136,Qulu ʼamanna Billahi wa ma ʼunzila ʼilayna wa ma ʼunzila ʼila ʼibrahima wa ʼismaɛila wa ʼisḥaqa wa yaɛquba wa al-ʼasbaṭi wa ma ʼutiya musa wa ɛisa wa ma ʼutiya an-nabiyuna min rabbihim la nufarriqu bayna ʼaḥadin minhum wa naḥnu lahu muslimun.
