surah_number,ayah_number,ayah_content,latin_inalco,Tifinagh
2,31,"Isseêfev akw ismawen i Adem. Sinna, Issken iten i lmalayek, Inna: ""efkemt iyI d ismawen n wigi, ma kunemti d sut tidep"".","Isseḥfeḍ akw ismawen i Adem. Sinna, Issken iten i lmalayek, Inna: ""efkemt iyI d ismawen n wigi, ma kunemti d sut tidet"".","ⵉⵙⵙⵃⴼⴹ ⴰⴽⵡ ⵉⵙⵎⴰⵡⵏ ⵉ ⴰⴷⵎ. ⵙⵉⵏⵏⴰ, ⵉⵙⵙⴽⵏ ⵉⵜⵏ ⵉ ⵍⵎⴰⵍⴰⵢⴽ, ⵉⵏⵏⴰ: ""ⴼⴽⵎⵜ ⵉⵢⵉ ⴷ ⵉⵙⵎⴰⵡⵏ ⵏ ⵡⵉⴳⵉ, ⵎⴰ ⴽⵓⵏⵎⵜⵉ ⴷ ⵙⵓⵜ ⵜⵉⴷⵜ""."
2,32,"Nnant: ""gedha s yisseK! Ur nessin, siwa i a$ Teslemdev. Keçç, s tidep, d Amusnaw, d Bab n ûûwab"".","Nnant: ""gedha s yisseK! Ur nessin, siwa i aɣ Teslemdeḍ. Kečč, s tidet, d Amusnaw, d Bab n ṣṣwab"".","ⵏⵏⴰⵏⵜ: ""ⴳⴷⵀⴰ ⵙ ⵢⵉⵙⵙⴽ! ⵓⵔ ⵏⵙⵙⵉⵏ, ⵙⵉⵡⴰ ⵉ ⴰⵖ ⵜⵙⵍⵎⴷⴹ. ⴽⵜⵜⵛ, ⵙ ⵜⵉⴷⵜ, ⴷ ⴰⵎⵓⵙⵏⴰⵡ, ⴷ ⴱⴰⴱ ⵏ ⵚⵚⵡⴰⴱ""."
2,33,"Inna: ""a Adem, efk asent ismawen nnsen"". Mi sent imla ismawen nnsen, Inna: ""day ur a kwent Nni$ ara: Nek Ssne$ tabavnit n tmurt akked igenwan, u èôi$ ayen d teqqaôem, akked wayen teppeffrem""?","Inna: ""a Adem, efk asent ismawen nnsen"". Mi sent imla ismawen nnsen, Inna: ""day ur a kwent Nniɣ ara: Nek Ssneɣ tabaḍnit n tmurt akked igenwan, u ẓṛiɣ ayen d teqqaṛem, akked wayen tetteffrem""?","ⵉⵏⵏⴰ: ""ⴰ ⴰⴷⵎ, ⴼⴽ ⴰⵙⵏⵜ ⵉⵙⵎⴰⵡⵏ ⵏⵏⵙⵏ"". ⵎⵉ ⵙⵏⵜ ⵉⵎⵍⴰ ⵉⵙⵎⴰⵡⵏ ⵏⵏⵙⵏ, ⵉⵏⵏⴰ: ""ⴷⴰⵢ ⵓⵔ ⴰ ⴽⵡⵏⵜ ⵏⵏⵉⵖ ⴰⵔⴰ: ⵏⴽ ⵙⵙⵏⵖ ⵜⴰⴱⴰⴹⵏⵉⵜ ⵏ ⵜⵎⵓⵔⵜ ⴰⴽⴽⴷ ⵉⴳⵏⵡⴰⵏ, ⵓ ⵥⵕⵉⵖ ⴰⵢⵏ ⴷ ⵜⵇⵇⴰⵕⵎ, ⴰⴽⴽⴷ ⵡⴰⵢⵏ ⵜⵜⵜⴼⴼⵔⵎ""?"
2,34,"Mi Nenna i lmalayek: ""knumt i Adem""! Knant, siwa Iblis. Iugi, u isme$weô iman is. Illa seg ijehliyen.","Mi Nenna i lmalayek: ""knumt i Adem""! Knant, siwa Iblis. Iugi, u ismeɣweṛ iman is. Illa seg ijehliyen.","ⵎⵉ ⵏⵏⵏⴰ ⵉ ⵍⵎⴰⵍⴰⵢⴽ: ""ⴽⵏⵓⵎⵜ ⵉ ⴰⴷⵎ""! ⴽⵏⴰⵏⵜ, ⵙⵉⵡⴰ ⵉⴱⵍⵉⵙ. ⵉⵓⴳⵉ, ⵓ ⵉⵙⵎⵖⵡⵕ ⵉⵎⴰⵏ ⵉⵙ. ⵉⵍⵍⴰ ⵙⴳ ⵉⵊⵀⵍⵉⵢⵏ."
2,35,"Nenna: ""a Adem, ezde$ keçç akked tmeîîut ik, di Loennet, eççet segs, s tawant, ayen i wen ihwan. Ur ppaéet ar ttejôa yagi, mulac a ppilim d imednas"".","Nenna: ""a Adem, ezdeɣ kečč akked tmeṭṭut ik, di Lǧennet, eččet segs, s tawant, ayen i wen ihwan. Ur ttaẓet ar ttejṛa yagi, mulac a ttilim d imednas"".","ⵏⵏⵏⴰ: ""ⴰ ⴰⴷⵎ, ⵣⴷⵖ ⴽⵜⵜⵛ ⴰⴽⴽⴷ ⵜⵎⵟⵟⵓⵜ ⵉⴽ, ⴷⵉ ⵍⴷⵊⵏⵏⵜ, ⵜⵜⵛⵜ ⵙⴳⵙ, ⵙ ⵜⴰⵡⴰⵏⵜ, ⴰⵢⵏ ⵉ ⵡⵏ ⵉⵀⵡⴰⵏ. ⵓⵔ ⵜⵜⴰⵥⵜ ⴰⵔ ⵜⵜⵊⵕⴰ ⵢⴰⴳⵉ, ⵎⵓⵍⴰⵛ ⴰ ⵜⵜⵉⵍⵉⵎ ⴷ ⵉⵎⴷⵏⴰⵙ""."
2,36,"Ikellex iten Cciîan fellas. Issuffe$ iten id seg wanda llan. Nenna: ""ûûubbet, d icenga bbwaygarawen. I kunwi, di tmurt, i$imi akked zzhu, siwa tallit"".","Ikellex iten Cciṭan fellas. Issuffeɣ iten id seg wanda llan. Nenna: ""ṣṣubbet, d icenga bbwaygarawen. I kunwi, di tmurt, iɣimi akked zzhu, siwa tallit"".","ⵉⴽⵍⵍⵅ ⵉⵜⵏ ⵛⵛⵉⵟⴰⵏ ⴼⵍⵍⴰⵙ. ⵉⵙⵙⵓⴼⴼⵖ ⵉⵜⵏ ⵉⴷ ⵙⴳ ⵡⴰⵏⴷⴰ ⵍⵍⴰⵏ. ⵏⵏⵏⴰ: ""ⵚⵚⵓⴱⴱⵜ, ⴷ ⵉⵛⵏⴳⴰ ⴱⴱⵡⴰⵢⴳⴰⵔⴰⵡⵏ. ⵉ ⴽⵓⵏⵡⵉ, ⴷⵉ ⵜⵎⵓⵔⵜ, ⵉⵖⵉⵎⵉ ⴰⴽⴽⴷ ⵣⵣⵀⵓ, ⵙⵉⵡⴰ ⵜⴰⵍⵍⵉⵜ""."
2,37,"Adem iîîef awalen n Mass is. Issuref as. Neppa, s tidep, Issuruf, Ipêunu.","Adem iṭṭef awalen n Mass is. Issuref as. Netta, s tidet, Issuruf, Itḥunu.","ⴰⴷⵎ ⵉⵟⵟⴼ ⴰⵡⴰⵍⵏ ⵏ ⵎⴰⵙⵙ ⵉⵙ. ⵉⵙⵙⵓⵔⴼ ⴰⵙ. ⵏⵜⵜⴰ, ⵙ ⵜⵉⴷⵜ, ⵉⵙⵙⵓⵔⵓⴼ, ⵉⵜⵃⵓⵏⵓ."
2,38,"Nenna: ""ûûubbet segs, akken ma tellam. War ccekk, a kwen id tas nnhaya s$uôI"". Wid iddan d nnhaya, ur ppagwaden, ur $weblen.","Nenna: ""ṣṣubbet segs, akken ma tellam. War ccekk, a kwen id tas nnhaya sɣuṛI"". Wid iddan d nnhaya, ur ttagwaden, ur ɣweblen.","ⵏⵏⵏⴰ: ""ⵚⵚⵓⴱⴱⵜ ⵙⴳⵙ, ⴰⴽⴽⵏ ⵎⴰ ⵜⵍⵍⴰⵎ. ⵡⴰⵔ ⵛⵛⴽⴽ, ⴰ ⴽⵡⵏ ⵉⴷ ⵜⴰⵙ ⵏⵏⵀⴰⵢⴰ ⵙⵖⵓⵕⵉ"". ⵡⵉⴷ ⵉⴷⴷⴰⵏ ⴷ ⵏⵏⵀⴰⵢⴰ, ⵓⵔ ⵜⵜⴰⴳⵡⴰⴷⵏ, ⵓⵔ ⵖⵡⴱⵍⵏ."
2,39,"Wid ijehlen u skaddben issekniyen nne£, widak d at tmes, degs ad wekkôen.","Wid ijehlen u skaddben issekniyen nneɣ, widak d at tmes, degs ad wekkṛen.","ⵡⵉⴷ ⵉⵊⵀⵍⵏ ⵓ ⵙⴽⴰⴷⴷⴱⵏ ⵉⵙⵙⴽⵏⵉⵢⵏ ⵏⵏⵖ, ⵡⵉⴷⴰⴽ ⴷ ⴰⵜ ⵜⵎⵙ, ⴷⴳⵙ ⴰⴷ ⵡⴽⴽⵕⵏ."
2,40,"A yAt Isôail! Mmektit ed l$it iW, is ikwen Öeéqe$. Eîîfet di lemâahda W, ad Ïîfe$ di lemâahda nnwen. D nek iwumi ara têezzbem.","A yAt Isṛail! Mmektit ed lɣit iW, is ikwen Ṛeẓqeɣ. Eṭṭfet di lemɛahda W, ad Ṭṭfeɣ di lemɛahda nnwen. D nek iwumi ara tḥezzbem.","ⴰ ⵢⴰⵜ ⵉⵙⵕⴰⵉⵍ! ⵎⵎⴽⵜⵉⵜ ⴷ ⵍⵖⵉⵜ ⵉⵡ, ⵉⵙ ⵉⴽⵡⵏ ⵕⵥⵇⵖ. ⵟⵟⴼⵜ ⴷⵉ ⵍⵎⵄⴰⵀⴷⴰ ⵡ, ⴰⴷ ⵟⵟⴼⵖ ⴷⵉ ⵍⵎⵄⴰⵀⴷⴰ ⵏⵏⵡⵏ. ⴷ ⵏⴽ ⵉⵡⵓⵎⵉ ⴰⵔⴰ ⵜⵃⵣⵣⴱⵎ."
2,41,"Amnet s wayen id Sserse$, itebbten ayen illan $uôwen. Ur ppilit d imezwura ara t iagwin. Ur ppa$et, s issekniyen iW, ayen ôxisen. D nek iwumi ara têezzbem.","Amnet s wayen id Sserseɣ, itebbten ayen illan ɣuṛwen. Ur ttilit d imezwura ara t iagwin. Ur ttaɣet, s issekniyen iW, ayen ṛxisen. D nek iwumi ara tḥezzbem.","ⴰⵎⵏⵜ ⵙ ⵡⴰⵢⵏ ⵉⴷ ⵙⵙⵔⵙⵖ, ⵉⵜⴱⴱⵜⵏ ⴰⵢⵏ ⵉⵍⵍⴰⵏ ⵖⵓⵕⵡⵏ. ⵓⵔ ⵜⵜⵉⵍⵉⵜ ⴷ ⵉⵎⵣⵡⵓⵔⴰ ⴰⵔⴰ ⵜ ⵉⴰⴳⵡⵉⵏ. ⵓⵔ ⵜⵜⴰⵖⵜ, ⵙ ⵉⵙⵙⴽⵏⵉⵢⵏ ⵉⵡ, ⴰⵢⵏ ⵕⵅⵉⵙⵏ. ⴷ ⵏⴽ ⵉⵡⵓⵎⵉ ⴰⵔⴰ ⵜⵃⵣⵣⴱⵎ."
2,42,"Ur slusut, i tidep, tikerkas. Ur teffret tidep, u kunwi teéôam.","Ur slusut, i tidet, tikerkas. Ur teffret tidet, u kunwi teẓṛam.","ⵓⵔ ⵙⵍⵓⵙⵓⵜ, ⵉ ⵜⵉⴷⵜ, ⵜⵉⴽⵔⴽⴰⵙ. ⵓⵔ ⵜⴼⴼⵔⵜ ⵜⵉⴷⵜ, ⵓ ⴽⵓⵏⵡⵉ ⵜⵥⵕⴰⵎ."
2,43,"èéallet, zekkit, îîinzet akked wid iîîinizen.","ẓẓallet, zekkit, ṭṭinzet akked wid iṭṭinizen.","ⵥⵥⴰⵍⵍⵜ, ⵣⴽⴽⵉⵜ, ⵟⵟⵉⵏⵣⵜ ⴰⴽⴽⴷ ⵡⵉⴷ ⵉⵟⵟⵉⵏⵉⵣⵏ."
2,44,"Day a ppamôem ise$ i medden, a ppeppum iman nnwen? U kunwi teqqaôem Tazmamt. Day ur tefhimem ara?","Day a ttamṛem iseɣ i medden, a ttettum iman nnwen? U kunwi teqqaṛem Tazmamt. Day ur tefhimem ara?","ⴷⴰⵢ ⴰ ⵜⵜⴰⵎⵕⵎ ⵉⵙⵖ ⵉ ⵎⴷⴷⵏ, ⴰ ⵜⵜⵜⵜⵓⵎ ⵉⵎⴰⵏ ⵏⵏⵡⵏ? ⵓ ⴽⵓⵏⵡⵉ ⵜⵇⵇⴰⵕⵎ ⵜⴰⵣⵎⴰⵎⵜ. ⴷⴰⵢ ⵓⵔ ⵜⴼⵀⵉⵎⵎ ⴰⵔⴰ?"
2,45,"Ssutret lemâawna n ûûbeô akked téallit. Ih, dayen iwaâôen, siwa i imeéluven,","Ssutret lemɛawna n ṣṣbeṛ akked tẓallit. Ih, dayen iwaɛṛen, siwa i imeẓluḍen,","ⵙⵙⵓⵜⵔⵜ ⵍⵎⵄⴰⵡⵏⴰ ⵏ ⵚⵚⴱⵕ ⴰⴽⴽⴷ ⵜⵥⴰⵍⵍⵉⵜ. ⵉⵀ, ⴷⴰⵢⵏ ⵉⵡⴰⵄⵕⵏ, ⵙⵉⵡⴰ ⵉ ⵉⵎⵥⵍⵓⴹⵏ,"
2,46,"wid iêûan ar ad mlilen akked Mass nnsen, u $uôeS, nitni, war ccekk, ad u$alen.","wid iḥṣan ar ad mlilen akked Mass nnsen, u ɣuṛeS, nitni, war ccekk, ad uɣalen.","ⵡⵉⴷ ⵉⵃⵚⴰⵏ ⴰⵔ ⴰⴷ ⵎⵍⵉⵍⵏ ⴰⴽⴽⴷ ⵎⴰⵙⵙ ⵏⵏⵙⵏ, ⵓ ⵖⵓⵕⵙ, ⵏⵉⵜⵏⵉ, ⵡⴰⵔ ⵛⵛⴽⴽ, ⴰⴷ ⵓⵖⴰⵍⵏ."
2,47,"A yAt Isôail! Mmektit ed l$it iW, is ikwen Öeéqe$. Nek, Smenyafe$ kwen i imavalen.","A yAt Isṛail! Mmektit ed lɣit iW, is ikwen Ṛeẓqeɣ. Nek, Smenyafeɣ kwen i imaḍalen.","ⴰ ⵢⴰⵜ ⵉⵙⵕⴰⵉⵍ! ⵎⵎⴽⵜⵉⵜ ⴷ ⵍⵖⵉⵜ ⵉⵡ, ⵉⵙ ⵉⴽⵡⵏ ⵕⵥⵇⵖ. ⵏⴽ, ⵙⵎⵏⵢⴰⴼⵖ ⴽⵡⵏ ⵉ ⵉⵎⴰⴹⴰⵍⵏ."
2,48,"Ëezzbet i wass ideg ur ippuoazi yiwen deg umkan n wayev, s wacemma. Ur tepwaqbal ccafuâa segs, ur tepwaîîaf, segs, le$ôama, ur ten ppaâwanen.","Ḥezzbet i wass ideg ur ittuǧazi yiwen deg umkan n wayeḍ, s wacemma. Ur tetwaqbal ccafuɛa segs, ur tetwaṭṭaf, segs, leɣṛama, ur ten ttaɛwanen.","ⵃⵣⵣⴱⵜ ⵉ ⵡⴰⵙⵙ ⵉⴷⴳ ⵓⵔ ⵉⵜⵜⵓⴷⵊⴰⵣⵉ ⵢⵉⵡⵏ ⴷⴳ ⵓⵎⴽⴰⵏ ⵏ ⵡⴰⵢⴹ, ⵙ ⵡⴰⵛⵎⵎⴰ. ⵓⵔ ⵜⵜⵡⴰⵇⴱⴰⵍ ⵛⵛⴰⴼⵓⵄⴰ ⵙⴳⵙ, ⵓⵔ ⵜⵜⵡⴰⵟⵟⴰⴼ, ⵙⴳⵙ, ⵍⵖⵕⴰⵎⴰ, ⵓⵔ ⵜⵏ ⵜⵜⴰⵄⵡⴰⵏⵏ."
2,49,"Mi kwen Nsellek seg ugdud n Ferâun, sâaddayen fellawen aâaqeb adiran. Zellun arrac nnwen, ssidiren tilawin nnwen. Ayagi d taluft tabarart, s$uô Mass nnwen.","Mi kwen Nsellek seg ugdud n Ferɛun, sɛaddayen fellawen aɛaqeb adiran. Zellun arrac nnwen, ssidiren tilawin nnwen. Ayagi d taluft tabarart, sɣuṛ Mass nnwen.","ⵎⵉ ⴽⵡⵏ ⵏⵙⵍⵍⴽ ⵙⴳ ⵓⴳⴷⵓⴷ ⵏ ⴼⵔⵄⵓⵏ, ⵙⵄⴰⴷⴷⴰⵢⵏ ⴼⵍⵍⴰⵡⵏ ⴰⵄⴰⵇⴱ ⴰⴷⵉⵔⴰⵏ. ⵣⵍⵍⵓⵏ ⴰⵔⵔⴰⵛ ⵏⵏⵡⵏ, ⵙⵙⵉⴷⵉⵔⵏ ⵜⵉⵍⴰⵡⵉⵏ ⵏⵏⵡⵏ. ⴰⵢⴰⴳⵉ ⴷ ⵜⴰⵍⵓⴼⵜ ⵜⴰⴱⴰⵔⴰⵔⵜ, ⵙⵖⵓⵕ ⵎⴰⵙⵙ ⵏⵏⵡⵏ."
2,50,"Mi, yiswen, Nessemfaôeq ill, Nsellek ikwen, Ne$meq agdud n Ferâun, kunwi la tepwalim.","Mi, yiswen, Nessemfaṛeq ill, Nsellek ikwen, Neɣmeq agdud n Ferɛun, kunwi la tetwalim.","ⵎⵉ, ⵢⵉⵙⵡⵏ, ⵏⵙⵙⵎⴼⴰⵕⵇ ⵉⵍⵍ, ⵏⵙⵍⵍⴽ ⵉⴽⵡⵏ, ⵏⵖⵎⵇ ⴰⴳⴷⵓⴷ ⵏ ⴼⵔⵄⵓⵏ, ⴽⵓⵏⵡⵉ ⵍⴰ ⵜⵜⵡⴰⵍⵉⵎ."
2,51,"Mi Nga lemâahda i Musa, kuéet wavan; sinna, deffir es, teddam d uâajmi. Kunwi d imednas.","Mi Nga lemɛahda i Musa, kuẓet waḍan; sinna, deffir es, teddam d uɛajmi. Kunwi d imednas.","ⵎⵉ ⵏⴳⴰ ⵍⵎⵄⴰⵀⴷⴰ ⵉ ⵎⵓⵙⴰ, ⴽⵓⵥⵜ ⵡⴰⴹⴰⵏ; ⵙⵉⵏⵏⴰ, ⴷⴼⴼⵉⵔ ⵙ, ⵜⴷⴷⴰⵎ ⴷ ⵓⵄⴰⵊⵎⵉ. ⴽⵓⵏⵡⵉ ⴷ ⵉⵎⴷⵏⴰⵙ."
2,52,"Sinna, deffir waya, Nsemmeê awen, amar a ppesnemmrem.","Sinna, deffir waya, Nsemmeḥ awen, amar a ttesnemmrem.","ⵙⵉⵏⵏⴰ, ⴷⴼⴼⵉⵔ ⵡⴰⵢⴰ, ⵏⵙⵎⵎⵃ ⴰⵡⵏ, ⴰⵎⴰⵔ ⴰ ⵜⵜⵙⵏⵎⵎⵔⵎ."
2,53,"Mi Nefka, i Musa, Tazmamt akked ufraz, amar a ppeppwanhum.","Mi Nefka, i Musa, Tazmamt akked ufraz, amar a ttettwanhum.","ⵎⵉ ⵏⴼⴽⴰ, ⵉ ⵎⵓⵙⴰ, ⵜⴰⵣⵎⴰⵎⵜ ⴰⴽⴽⴷ ⵓⴼⵔⴰⵣ, ⴰⵎⴰⵔ ⴰ ⵜⵜⵜⵜⵡⴰⵏⵀⵓⵎ."
2,54,"Mi inna Musa i ugdud is: ""a yagdud iw! Kunwi, s tidep, tdensem iman nnwen, mi teddam d uâajmi. Ssutret ssmaê i Uxellaq nnwen; mmin$et, ppif i kunwi ar Uxellaq nnwen. Issuref awen. Neppa, s tidep, Issuruf, Ipêunu"".","Mi inna Musa i ugdud is: ""a yagdud iw! Kunwi, s tidet, tdensem iman nnwen, mi teddam d uɛajmi. Ssutret ssmaḥ i Uxellaq nnwen; mminɣet, ttif i kunwi ar Uxellaq nnwen. Issuref awen. Netta, s tidet, Issuruf, Itḥunu"".","ⵎⵉ ⵉⵏⵏⴰ ⵎⵓⵙⴰ ⵉ ⵓⴳⴷⵓⴷ ⵉⵙ: ""ⴰ ⵢⴰⴳⴷⵓⴷ ⵉⵡ! ⴽⵓⵏⵡⵉ, ⵙ ⵜⵉⴷⵜ, ⵜⴷⵏⵙⵎ ⵉⵎⴰⵏ ⵏⵏⵡⵏ, ⵎⵉ ⵜⴷⴷⴰⵎ ⴷ ⵓⵄⴰⵊⵎⵉ. ⵙⵙⵓⵜⵔⵜ ⵙⵙⵎⴰⵃ ⵉ ⵓⵅⵍⵍⴰⵇ ⵏⵏⵡⵏ; ⵎⵎⵉⵏⵖⵜ, ⵜⵜⵉⴼ ⵉ ⴽⵓⵏⵡⵉ ⴰⵔ ⵓⵅⵍⵍⴰⵇ ⵏⵏⵡⵏ. ⵉⵙⵙⵓⵔⴼ ⴰⵡⵏ. ⵏⵜⵜⴰ, ⵙ ⵜⵉⴷⵜ, ⵉⵙⵙⵓⵔⵓⴼ, ⵉⵜⵃⵓⵏⵓ""."
2,55,"Mi tennam: ""a Musa! Ur neppamen yisek, d awez$i, alamma nwala Öebbi, âinani"". Tewwet ikwen id ssiâqa, kunwi tepwalim.","Mi tennam: ""a Musa! Ur nettamen yisek, d awezɣi, alamma nwala Ṛebbi, ɛinani"". Tewwet ikwen id ssiɛqa, kunwi tetwalim.","ⵎⵉ ⵜⵏⵏⴰⵎ: ""ⴰ ⵎⵓⵙⴰ! ⵓⵔ ⵏⵜⵜⴰⵎⵏ ⵢⵉⵙⴽ, ⴷ ⴰⵡⵣⵖⵉ, ⴰⵍⴰⵎⵎⴰ ⵏⵡⴰⵍⴰ ⵕⴱⴱⵉ, ⵄⵉⵏⴰⵏⵉ"". ⵜⵡⵡⵜ ⵉⴽⵡⵏ ⵉⴷ ⵙⵙⵉⵄⵇⴰ, ⴽⵓⵏⵡⵉ ⵜⵜⵡⴰⵍⵉⵎ."
2,56,"Sinna, Nerra kwen id, deffir tmeppant nnwen, amar a ppesnemmrem.","Sinna, Nerra kwen id, deffir tmettant nnwen, amar a ttesnemmrem.","ⵙⵉⵏⵏⴰ, ⵏⵔⵔⴰ ⴽⵡⵏ ⵉⴷ, ⴷⴼⴼⵉⵔ ⵜⵎⵜⵜⴰⵏⵜ ⵏⵏⵡⵏ, ⴰⵎⴰⵔ ⴰ ⵜⵜⵙⵏⵎⵎⵔⵎ."
2,57,"S usigna, Nerra yawen tili. Nessers awen d lmenna, ifeôôuoen: ""eççet si téidanin is ikwen N$at"". Ur a£ dnisen, maca densen iman nnsen.","S usigna, Nerra yawen tili. Nessers awen d lmenna, ifeṛṛuǧen: ""eččet si tẓidanin is ikwen Nɣat"". Ur aɣ dnisen, maca densen iman nnsen.","ⵙ ⵓⵙⵉⴳⵏⴰ, ⵏⵔⵔⴰ ⵢⴰⵡⵏ ⵜⵉⵍⵉ. ⵏⵙⵙⵔⵙ ⴰⵡⵏ ⴷ ⵍⵎⵏⵏⴰ, ⵉⴼⵕⵕⵓⴷⵊⵏ: ""ⵜⵜⵛⵜ ⵙⵉ ⵜⵥⵉⴷⴰⵏⵉⵏ ⵉⵙ ⵉⴽⵡⵏ ⵏⵖⴰⵜ"". ⵓⵔ ⴰⵖ ⴷⵏⵉⵙⵏ, ⵎⴰⵛⴰ ⴷⵏⵙⵏ ⵉⵎⴰⵏ ⵏⵏⵙⵏ."
2,58,"Mi Nenna: ""kecmet tamdint agi, eççet degs, s tawant, ayen i wen ihwan; kecmet si tebburt, s lekni; init: nendem. Ad awen Nsemmeê tuccva nnwen, a Nernu i iâaôviyen"".","Mi Nenna: ""kecmet tamdint agi, eččet degs, s tawant, ayen i wen ihwan; kecmet si tebburt, s lekni; init: nendem. Ad awen Nsemmeḥ tuccḍa nnwen, a Nernu i iɛaṛḍiyen"".","ⵎⵉ ⵏⵏⵏⴰ: ""ⴽⵛⵎⵜ ⵜⴰⵎⴷⵉⵏⵜ ⴰⴳⵉ, ⵜⵜⵛⵜ ⴷⴳⵙ, ⵙ ⵜⴰⵡⴰⵏⵜ, ⴰⵢⵏ ⵉ ⵡⵏ ⵉⵀⵡⴰⵏ; ⴽⵛⵎⵜ ⵙⵉ ⵜⴱⴱⵓⵔⵜ, ⵙ ⵍⴽⵏⵉ; ⵉⵏⵉⵜ: ⵏⵏⴷⵎ. ⴰⴷ ⴰⵡⵏ ⵏⵙⵎⵎⵃ ⵜⵓⵛⵛⴹⴰ ⵏⵏⵡⵏ, ⴰ ⵏⵔⵏⵓ ⵉ ⵉⵄⴰⵕⴹⵉⵢⵏ""."
2,59,"Wid idensen bedlen awal, ur d win i sen nnan. Nessers ed, i wid idensen, tawa$it seg igenni, ilmend n tucmitin nnsen.","Wid idensen bedlen awal, ur d win i sen nnan. Nessers ed, i wid idensen, tawaɣit seg igenni, ilmend n tucmitin nnsen.","ⵡⵉⴷ ⵉⴷⵏⵙⵏ ⴱⴷⵍⵏ ⴰⵡⴰⵍ, ⵓⵔ ⴷ ⵡⵉⵏ ⵉ ⵙⵏ ⵏⵏⴰⵏ. ⵏⵙⵙⵔⵙ ⴷ, ⵉ ⵡⵉⴷ ⵉⴷⵏⵙⵏ, ⵜⴰⵡⴰⵖⵉⵜ ⵙⴳ ⵉⴳⵏⵏⵉ, ⵉⵍⵎⵏⴷ ⵏ ⵜⵓⵛⵎⵉⵜⵉⵏ ⵏⵏⵙⵏ."
2,60,"Mi issuter Musa aman i ugdud is, Nenna: ""ewwet aéôu, s uâkkwaz ik"". Feggvent ed, segs, mrawsnat tliwa. Yal wa iéôa anda ara issew. ""Eççet, esswet, si ôôeéq n Öebbi. Ur ssefsadet di tmurt am imjaêen"".","Mi issuter Musa aman i ugdud is, Nenna: ""ewwet aẓṛu, s uɛkkwaz ik"". Feggḍent ed, segs, mrawsnat tliwa. Yal wa iẓṛa anda ara issew. ""Eččet, esswet, si ṛṛeẓq n Ṛebbi. Ur ssefsadet di tmurt am imjaḥen"".","ⵎⵉ ⵉⵙⵙⵓⵜⵔ ⵎⵓⵙⴰ ⴰⵎⴰⵏ ⵉ ⵓⴳⴷⵓⴷ ⵉⵙ, ⵏⵏⵏⴰ: ""ⵡⵡⵜ ⴰⵥⵕⵓ, ⵙ ⵓⵄⴽⴽⵡⴰⵣ ⵉⴽ"". ⴼⴳⴳⴹⵏⵜ ⴷ, ⵙⴳⵙ, ⵎⵔⴰⵡⵙⵏⴰⵜ ⵜⵍⵉⵡⴰ. ⵢⴰⵍ ⵡⴰ ⵉⵥⵕⴰ ⴰⵏⴷⴰ ⴰⵔⴰ ⵉⵙⵙⵡ. ""ⵜⵜⵛⵜ, ⵙⵙⵡⵜ, ⵙⵉ ⵕⵕⵥⵇ ⵏ ⵕⴱⴱⵉ. ⵓⵔ ⵙⵙⴼⵙⴰⴷⵜ ⴷⵉ ⵜⵎⵓⵔⵜ ⴰⵎ ⵉⵎⵊⴰⵃⵏ""."
